gender,part_time_job,absence_days,extracurricular_activities,weekly_self_study_hours,career_aspiration,TOTAL_MARK
0,0,3,0,27,9,82.0
1,0,2,0,47,6,91.42857142857143
1,0,9,1,13,8,86.42857142857143
1,0,5,0,3,1,78.71428571428571
0,0,5,0,10,15,74.42857142857143
1,0,2,0,26,15,82.0
0,0,3,1,23,12,84.71428571428571
0,1,2,1,34,12,82.0
0,0,6,0,25,15,81.14285714285714
1,0,3,1,18,14,76.71428571428571
1,0,2,0,7,14,76.28571428571429
0,0,1,0,7,15,74.0
1,1,7,0,4,3,73.71428571428571
1,0,10,0,2,3,79.42857142857143
1,0,3,0,39,6,91.14285714285714
0,0,6,0,0,3,74.71428571428571
1,0,3,1,30,11,83.0
0,0,2,1,28,12,82.71428571428571
0,0,1,0,37,6,91.42857142857143
1,0,2,0,27,12,82.14285714285714
0,1,3,0,15,12,86.0
0,0,8,0,4,3,77.57142857142857
1,0,9,0,2,3,73.71428571428571
0,0,9,0,1,3,68.14285714285714
1,0,4,0,35,12,90.28571428571429
1,0,5,0,22,6,89.71428571428571
0,0,3,0,34,2,84.85714285714286
0,0,0,0,23,16,81.85714285714286
0,0,1,1,17,0,78.57142857142857
1,0,3,0,19,0,73.85714285714286
1,0,0,0,14,12,84.14285714285714
1,0,4,0,30,5,77.57142857142857
0,0,4,0,30,0,81.28571428571429
1,0,1,0,24,2,81.14285714285714
1,0,3,1,31,15,81.57142857142857
1,0,1,0,21,15,74.57142857142857
0,0,2,1,19,4,89.57142857142857
0,0,1,0,29,4,89.42857142857143
0,0,4,0,21,2,78.14285714285714
0,0,4,0,18,0,77.57142857142857
1,0,4,0,31,12,82.42857142857143
0,1,7,0,4,3,66.57142857142857
1,1,6,0,3,3,86.28571428571429
1,0,4,0,3,7,86.0
0,1,4,0,3,3,74.28571428571429
0,1,5,1,5,3,68.85714285714286
1,0,5,1,27,9,85.0
0,0,0,1,28,13,78.57142857142857
1,0,4,0,32,15,79.42857142857143
1,0,0,0,14,0,79.85714285714286
0,0,6,1,16,13,82.71428571428571
1,0,2,0,24,9,79.28571428571429
0,0,9,0,0,3,68.42857142857143
1,0,3,0,32,2,84.0
0,0,2,0,3,7,80.71428571428571
1,0,6,0,31,12,81.28571428571429
1,0,3,0,21,15,80.28571428571429
0,1,2,0,18,2,83.71428571428571
0,0,7,0,26,12,86.57142857142857
0,0,4,0,23,12,90.85714285714286
1,0,2,0,1,7,81.14285714285714
1,0,5,0,33,9,84.14285714285714
0,0,7,0,2,3,70.0
1,0,1,0,34,2,80.57142857142857
0,0,2,0,18,4,79.14285714285714
1,1,6,0,2,3,79.28571428571429
0,0,3,0,27,12,80.57142857142857
0,0,2,0,8,10,76.71428571428571
0,0,4,0,14,12,77.85714285714286
0,0,10,1,22,2,86.57142857142857
1,0,1,0,15,5,81.85714285714286
1,1,3,0,22,16,84.0
0,1,10,0,1,3,68.71428571428571
0,1,8,0,3,3,69.0
1,0,2,0,20,12,79.71428571428571
1,0,7,1,27,12,93.14285714285714
1,0,3,0,24,12,81.14285714285714
1,0,1,1,5,15,81.57142857142857
1,0,7,0,34,15,76.28571428571429
0,0,3,0,16,12,83.28571428571429
1,1,3,0,3,3,75.0
1,0,1,0,15,13,75.71428571428571
1,0,7,0,11,8,75.14285714285714
0,0,7,0,32,11,86.0
0,0,3,0,28,15,72.28571428571429
0,0,1,0,24,12,74.0
1,0,2,0,9,8,79.85714285714286
1,0,3,1,14,12,82.85714285714286
0,0,3,0,16,13,86.0
0,0,3,0,29,12,74.85714285714286
0,0,0,0,14,0,72.28571428571429
0,0,4,0,10,8,80.14285714285714
0,0,5,0,31,12,84.14285714285714
0,0,4,0,34,13,80.42857142857143
1,0,5,0,3,15,81.14285714285714
1,0,2,1,34,12,87.28571428571429
1,0,3,1,2,1,82.14285714285714
0,0,3,0,4,10,86.57142857142857
0,1,0,0,28,9,86.28571428571429
1,0,0,0,5,7,89.57142857142857
1,0,2,0,4,1,80.71428571428571
1,0,2,0,25,12,83.0
0,0,5,0,29,16,80.42857142857143
0,1,6,0,1,1,77.14285714285714
1,0,7,0,2,3,82.85714285714286
1,0,2,0,0,10,82.85714285714286
1,0,3,0,16,0,90.0
0,0,3,1,31,11,82.14285714285714
1,0,1,0,4,15,80.0
0,0,5,1,13,0,73.14285714285714
0,0,4,0,24,13,82.85714285714286
1,1,9,0,2,3,65.42857142857143
0,1,2,1,4,3,76.57142857142857
1,0,1,0,22,2,78.14285714285714
0,0,6,1,0,3,76.0
0,0,2,0,24,15,75.57142857142857
1,0,6,0,1,3,71.42857142857143
1,0,1,0,19,15,72.85714285714286
0,0,1,1,19,12,77.28571428571429
1,0,6,0,5,3,66.85714285714286
1,1,0,0,13,14,82.28571428571429
0,0,4,0,26,6,91.42857142857143
0,0,4,0,41,6,89.57142857142857
1,0,3,0,47,6,94.14285714285714
1,0,2,0,9,15,75.14285714285714
1,0,4,0,7,15,79.85714285714286
0,0,1,0,3,7,80.28571428571429
0,0,4,1,14,0,80.57142857142857
1,0,4,0,26,15,79.0
0,0,6,1,27,15,82.0
1,1,5,0,25,13,82.57142857142857
1,1,4,0,16,2,76.28571428571429
1,0,4,0,27,12,78.42857142857143
0,1,6,0,0,3,72.14285714285714
0,0,1,0,3,5,83.0
1,0,2,0,6,5,79.71428571428571
0,0,2,0,12,2,77.28571428571429
1,0,1,1,11,2,80.71428571428571
1,0,4,0,23,12,87.0
0,0,2,0,23,6,85.42857142857143
0,0,0,0,16,12,80.28571428571429
0,1,2,1,3,1,83.28571428571429
1,0,1,0,29,9,85.85714285714286
0,0,3,1,18,12,81.57142857142857
1,0,0,0,3,7,79.85714285714286
0,0,3,0,6,10,86.71428571428571
0,0,8,0,2,3,73.28571428571429
0,0,0,0,34,9,83.28571428571429
1,0,4,1,22,15,83.42857142857143
1,1,5,0,4,3,75.85714285714286
1,0,3,0,3,15,74.85714285714286
0,1,10,0,2,3,68.85714285714286
1,0,5,0,18,15,86.14285714285714
0,0,0,0,8,10,73.0
1,0,1,0,33,12,83.28571428571429
0,0,0,1,13,15,80.85714285714286
1,0,0,1,17,15,82.14285714285714
0,1,8,0,1,3,71.71428571428571
0,1,7,1,3,3,67.14285714285714
0,1,4,1,33,15,78.85714285714286
0,0,1,0,12,15,75.57142857142857
0,1,3,0,24,4,79.28571428571429
0,0,4,0,33,4,90.42857142857143
0,0,1,1,44,6,95.28571428571429
1,0,1,0,15,14,82.0
1,0,2,0,5,7,85.71428571428571
1,1,7,0,5,3,72.14285714285714
1,0,5,0,22,15,79.28571428571429
0,0,1,0,9,15,84.14285714285714
0,0,4,1,34,12,83.14285714285714
1,0,1,0,34,9,85.42857142857143
1,0,4,0,25,13,76.71428571428571
1,0,5,1,31,0,77.57142857142857
0,0,1,0,33,9,84.85714285714286
1,0,10,1,3,3,78.14285714285714
0,0,2,0,20,15,83.42857142857143
0,0,3,0,15,0,89.57142857142857
1,0,3,0,26,2,81.71428571428571
